"variable_id","canonical_name","source_system","bea_dataset","bea_table","bea_line","bea_line_description","series_code","sector_boundary","asset_block","account_boundary","frequency","unit","price_basis","stock_flow_type","role_tag","priority","required_for_downstream_object","download_date","vintage","source_url_or_query","status","notes","source_cache_file","aggregation_group"
"DOWNSTREAM__e_x_Kcap","e_x_Kcap","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","e_x_Kcap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__e_x_ME","e_x_ME","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","e_x_ME","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__e_x_ME_NRC_gap","e_x_ME_NRC_gap","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","e_x_ME_NRC_gap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__e_x_NRC","e_x_NRC","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","e_x_NRC","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__GOV_TRANS_GPIM","GOV_TRANS_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","GOV_TRANS_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__IPP_NFC_GPIM","IPP_NFC_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","IPP_NFC_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","K_G_NFC_KCAP_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","K_G_NFC_KCAP_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__K_G_NFC_ME_GPIM","K_G_NFC_ME_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","K_G_NFC_ME_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","K_G_NFC_NRC_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","K_G_NFC_NRC_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","K_N_NFC_KCAP_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","K_N_NFC_KCAP_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__K_N_NFC_ME_GPIM","K_N_NFC_ME_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","K_N_NFC_ME_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","K_N_NFC_NRC_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","K_N_NFC_NRC_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__ln_e_adj_NFC","ln_e_adj_NFC","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","ln_e_adj_NFC","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__omega_adj_NFC","omega_adj_NFC","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","omega_adj_NFC","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__P_K_NFC_ME_GPIM","P_K_NFC_ME_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","P_K_NFC_ME_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","P_K_NFC_NRC_GPIM","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","P_K_NFC_NRC_GPIM","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"DOWNSTREAM__pi_adj_NFC","pi_adj_NFC","downstream_repo","not_applicable","downstream_only","not_applicable","Constructed only in Capacity-Utilization-US_Chile","not_provided_by_cached_extract","NFC","not_applicable","analytical_construction","A","not_applicable","not_applicable","analytical_object","downstream_analytical_object","downstream","pi_adj_NFC","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","downstream_constructed_only","Provider supplies ingredients only. This row is a construction contract, not staged data.","not_available","not_applicable"
"INVENTORIES_MENU","inventories_menu","BEA","NIPA","not_available","unmapped","Inventory stock/flow table mapping","not_provided_by_cached_extract","CORP","INVENTORIES","income_accounts","A","various","current_cost","inventory","circulation_stockflow_diagnostic","optional","inventory_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Optional circulation stock-flow diagnostic.","not_available","not_applicable"
"CORP__current_transfer_payments","CORP_current_transfer_payments","BEA","NIPA","not_available","unmapped","Separate payment and receipt line requires verified NIPA mapping","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","current_transfer_payments","income_account_ingredient","required","Shaikh_income_correction","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","not_available","not_applicable"
"CORP__current_transfer_receipts","CORP_current_transfer_receipts","BEA","NIPA","not_available","unmapped","Separate payment and receipt line requires verified NIPA mapping","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","current_transfer_receipts","income_account_ingredient","required","Shaikh_income_correction","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","not_available","not_applicable"
"CORP__dividends_paid","CORP_dividends_paid","BEA","NIPA","not_available","unmapped","Separate payment and receipt line requires verified NIPA mapping","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","dividends_paid","income_account_ingredient","required","Shaikh_income_correction","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","not_available","not_applicable"
"CORP__dividends_received","CORP_dividends_received","BEA","NIPA","not_available","unmapped","Separate payment and receipt line requires verified NIPA mapping","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","dividends_received","income_account_ingredient","required","Shaikh_income_correction","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","requires_manual_mapping","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","not_available","not_applicable"
"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404","20","CORP intellectual_property_products cfc_current_cost","not_provided_by_cached_extract","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_dep_cc.csv","not_applicable"
"CORP__IPP__gross_investment_current_cost","CORP_intellectual_property_products_gross_investment_current_cost","BEA","FixedAssets","FAAt407","20","CORP intellectual_property_products gross_investment_current_cost","not_provided_by_cached_extract","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","gross_investment","frontier_conditioner","required","frontier_conditioning_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt407&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_inv.csv","not_applicable"
"CORP__IPP__gross_stock_current_cost","CORP_intellectual_property_products_gross_stock_current_cost","BEA","FixedAssets","not_available","not_available","BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line","not_provided_by_cached_extract","CORP","IPP","fixed_assets","A","not_available","current_cost","gross_stock","frontier_conditioner","required","downstream_GPIM_benchmark","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","not_available","not_applicable"
"CORP__IPP__net_stock_current_cost","CORP_intellectual_property_products_net_stock_current_cost","BEA","FixedAssets","FAAt401","20","CORP intellectual_property_products net_stock_current_cost","not_provided_by_cached_extract","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","net_stock","frontier_conditioner","required","frontier_conditioning_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt401&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_cc.csv","not_applicable"
"CORP__IPP__net_stock_quantity_index","CORP_intellectual_property_products_net_stock_quantity_index","BEA","FixedAssets","FAAt402","20","CORP intellectual_property_products net_stock_quantity_index","not_provided_by_cached_extract","CORP","IPP","fixed_assets","A","Chain-type quantity index","chain_quantity_index","net_stock","frontier_conditioner","required","frontier_conditioning_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt402&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_chain.csv","not_applicable"
"CORP__IPP__retirements","CORP_intellectual_property_products_retirements","BEA","FixedAssets","not_available","not_available","retirements not directly available in the staged standard table menu","not_provided_by_cached_extract","CORP","IPP","fixed_assets","A","not_available","not_applicable","retirements","frontier_conditioner","required","downstream_GPIM_diagnostics","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Retain as an explicit provider gap; no residual construction is permitted here.","not_available","not_applicable"
"CORP__IPP__revaluation_holding_gains","CORP_intellectual_property_products_revaluation_holding_gains","BEA","FixedAssets","not_available","not_available","revaluation_holding_gains not directly available in the staged standard table menu","not_provided_by_cached_extract","CORP","IPP","fixed_assets","A","not_available","not_applicable","revaluation_holding_gains","frontier_conditioner","required","downstream_GPIM_diagnostics","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Retain as an explicit provider gap; no residual construction is permitted here.","not_available","not_applicable"
"CORP__ME__cfc_current_cost","CORP_machinery_equipment_cfc_current_cost","BEA","FixedAssets","FAAt404","18","CORP machinery_equipment cfc_current_cost","not_provided_by_cached_extract","CORP","ME","fixed_assets","A","Millions of current dollars","current_cost","cfc","direct_productive_capacity_capital","required","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_dep_cc.csv","not_applicable"
"CORP__ME__gross_investment_current_cost","CORP_machinery_equipment_gross_investment_current_cost","BEA","FixedAssets","FAAt407","18","CORP machinery_equipment gross_investment_current_cost","not_provided_by_cached_extract","CORP","ME","fixed_assets","A","Millions of current dollars","current_cost","gross_investment","direct_productive_capacity_capital","required","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt407&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_inv.csv","not_applicable"
"CORP__ME__gross_stock_current_cost","CORP_machinery_equipment_gross_stock_current_cost","BEA","FixedAssets","not_available","not_available","BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line","not_provided_by_cached_extract","CORP","ME","fixed_assets","A","not_available","current_cost","gross_stock","direct_productive_capacity_capital","required","downstream_GPIM_benchmark","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","not_available","not_applicable"
"CORP__ME__net_stock_current_cost","CORP_machinery_equipment_net_stock_current_cost","BEA","FixedAssets","FAAt401","18","CORP machinery_equipment net_stock_current_cost","not_provided_by_cached_extract","CORP","ME","fixed_assets","A","Millions of current dollars","current_cost","net_stock","direct_productive_capacity_capital","required","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt401&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_cc.csv","not_applicable"
"CORP__ME__net_stock_quantity_index","CORP_machinery_equipment_net_stock_quantity_index","BEA","FixedAssets","FAAt402","18","CORP machinery_equipment net_stock_quantity_index","not_provided_by_cached_extract","CORP","ME","fixed_assets","A","Chain-type quantity index","chain_quantity_index","net_stock","direct_productive_capacity_capital","required","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt402&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_chain.csv","not_applicable"
"CORP__ME__retirements","CORP_machinery_equipment_retirements","BEA","FixedAssets","not_available","not_available","retirements not directly available in the staged standard table menu","not_provided_by_cached_extract","CORP","ME","fixed_assets","A","not_available","not_applicable","retirements","direct_productive_capacity_capital","required","downstream_GPIM_diagnostics","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Retain as an explicit provider gap; no residual construction is permitted here.","not_available","not_applicable"
"CORP__ME__revaluation_holding_gains","CORP_machinery_equipment_revaluation_holding_gains","BEA","FixedAssets","not_available","not_available","revaluation_holding_gains not directly available in the staged standard table menu","not_provided_by_cached_extract","CORP","ME","fixed_assets","A","not_available","not_applicable","revaluation_holding_gains","direct_productive_capacity_capital","required","downstream_GPIM_diagnostics","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Retain as an explicit provider gap; no residual construction is permitted here.","not_available","not_applicable"
"CORP__NRC__cfc_current_cost","CORP_nonresidential_structures_cfc_current_cost","BEA","FixedAssets","FAAt404","19","CORP nonresidential_structures cfc_current_cost","not_provided_by_cached_extract","CORP","NRC","fixed_assets","A","Millions of current dollars","current_cost","cfc","direct_productive_capacity_capital","required","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_dep_cc.csv","not_applicable"
"CORP__NRC__gross_investment_current_cost","CORP_nonresidential_structures_gross_investment_current_cost","BEA","FixedAssets","FAAt407","19","CORP nonresidential_structures gross_investment_current_cost","not_provided_by_cached_extract","CORP","NRC","fixed_assets","A","Millions of current dollars","current_cost","gross_investment","direct_productive_capacity_capital","required","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt407&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_inv.csv","not_applicable"
"CORP__NRC__gross_stock_current_cost","CORP_nonresidential_structures_gross_stock_current_cost","BEA","FixedAssets","not_available","not_available","BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line","not_provided_by_cached_extract","CORP","NRC","fixed_assets","A","not_available","current_cost","gross_stock","direct_productive_capacity_capital","required","downstream_GPIM_benchmark","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","not_available","not_applicable"
"CORP__NRC__net_stock_current_cost","CORP_nonresidential_structures_net_stock_current_cost","BEA","FixedAssets","FAAt401","19","CORP nonresidential_structures net_stock_current_cost","not_provided_by_cached_extract","CORP","NRC","fixed_assets","A","Millions of current dollars","current_cost","net_stock","direct_productive_capacity_capital","required","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt401&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_cc.csv","not_applicable"
"CORP__NRC__net_stock_quantity_index","CORP_nonresidential_structures_net_stock_quantity_index","BEA","FixedAssets","FAAt402","19","CORP nonresidential_structures net_stock_quantity_index","not_provided_by_cached_extract","CORP","NRC","fixed_assets","A","Chain-type quantity index","chain_quantity_index","net_stock","direct_productive_capacity_capital","required","downstream_GPIM_and_K_cap","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt402&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_chain.csv","not_applicable"
"CORP__NRC__retirements","CORP_nonresidential_structures_retirements","BEA","FixedAssets","not_available","not_available","retirements not directly available in the staged standard table menu","not_provided_by_cached_extract","CORP","NRC","fixed_assets","A","not_available","not_applicable","retirements","direct_productive_capacity_capital","required","downstream_GPIM_diagnostics","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Retain as an explicit provider gap; no residual construction is permitted here.","not_available","not_applicable"
"CORP__NRC__revaluation_holding_gains","CORP_nonresidential_structures_revaluation_holding_gains","BEA","FixedAssets","not_available","not_available","revaluation_holding_gains not directly available in the staged standard table menu","not_provided_by_cached_extract","CORP","NRC","fixed_assets","A","not_available","not_applicable","revaluation_holding_gains","direct_productive_capacity_capital","required","downstream_GPIM_diagnostics","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Retain as an explicit provider gap; no residual construction is permitted here.","not_available","not_applicable"
"CORP__TOTAL__cfc_current_cost","CORP_total_cfc_current_cost","BEA","FixedAssets","FAAt404","17","CORP total cfc_current_cost","not_provided_by_cached_extract","CORP","TOTAL","fixed_assets","A","Millions of current dollars","current_cost","cfc","capital_menu_total","required","sector_total_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_dep_cc.csv","not_applicable"
"CORP__TOTAL__gross_investment_current_cost","CORP_total_gross_investment_current_cost","BEA","FixedAssets","FAAt407","17","CORP total gross_investment_current_cost","not_provided_by_cached_extract","CORP","TOTAL","fixed_assets","A","Millions of current dollars","current_cost","gross_investment","capital_menu_total","required","sector_total_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt407&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_inv.csv","not_applicable"
"CORP__TOTAL__gross_stock_current_cost","CORP_total_gross_stock_current_cost","BEA","FixedAssets","not_available","not_available","BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line","not_provided_by_cached_extract","CORP","TOTAL","fixed_assets","A","not_available","current_cost","gross_stock","capital_menu_total","required","downstream_GPIM_benchmark","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","not_applicable","not_available","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","not_available","not_applicable"
"CORP__TOTAL__net_stock_current_cost","CORP_total_net_stock_current_cost","BEA","FixedAssets","FAAt401","17","CORP total net_stock_current_cost","not_provided_by_cached_extract","CORP","TOTAL","fixed_assets","A","Millions of current dollars","current_cost","net_stock","capital_menu_total","required","sector_total_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt401&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_cc.csv","not_applicable"
"CORP__TOTAL__net_stock_quantity_index","CORP_total_net_stock_quantity_index","BEA","FixedAssets","FAAt402","17","CORP total net_stock_quantity_index","not_provided_by_cached_extract","CORP","TOTAL","fixed_assets","A","Chain-type quantity index","chain_quantity_index","net_stock","capital_menu_total","required","sector_total_diagnostic","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt402&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","private_net_chain.csv","not_applicable"
"CORP_CFC","CORP_consumption_fixed_capital","BEA","NIPA","T11400","2","NIPA Table 1.14 line 2","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","cfc","income_account_ingredient","required","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
"CORP_COMP","CORP_compensation_employees","BEA","NIPA","T11400","4","NIPA Table 1.14 line 4","not_provided_by_cached_extract","CORP","not_applicable","income_accounts","A","Millions of current dollars","current_cost","compensation","income_account_ingredient","required","Shaikh_income_correction_and_distributive_variables","resolved_at_stage_time","BEA vintage at download; cached extracts document 2025-09-26 revision","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=NIPA&TableName=T11400&Frequency=A&Year=X&ResultFormat=JSON","staged","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","nipa_t1014.csv","not_applicable"
