metadata_id,source_layer,source_dataset,source_table,source_line,source_line_description,unit,frequency,coverage_start,coverage_end,row_count,retrieval_or_vintage,status,notes
CORP__TOTAL__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
CORP__TOTAL__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,17,Corporate,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__TOTAL__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,17,Corporate,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP_CFC,provider_source_provenance,NIPA,T11400,2,Consumption of fixed capital,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_COMP,provider_source_provenance,NIPA,T11400,4,Compensation of employees,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_DIVIDENDS_NET,provider_source_provenance,NIPA,T11400,14,Net dividends,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_GVA,provider_source_provenance,NIPA,T11400,1,Gross value added of corporate business,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_NET_INT,provider_source_provenance,NIPA,T11400,9,Net interest and miscellaneous payments,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_NOS,provider_source_provenance,NIPA,T11400,8,Net operating surplus,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_NVA,provider_source_provenance,NIPA,T11400,3,Net value added,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_PBT,provider_source_provenance,NIPA,T11400,37,Profits before tax (without IVA and CCAdj),Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_PROFITS_IVA_CC,provider_source_provenance,NIPA,T11400,11,Corporate profits with IVA and CCAdj,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
CORP_TRANSFERS_NET,provider_source_provenance,NIPA,T11400,10,Business current transfer payments (net),Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
T711_L52,provider_source_provenance,NIPA,T71100,52,State and local,Millions of current dollars,A,1946,2024,79,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes.
T711_L53,provider_source_provenance,NIPA,T71100,53,Rest of the world,Millions of current dollars,A,1986,2024,39,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes.
T711_L73,provider_source_provenance,NIPA,T71100,73,Federal,Millions of current dollars,A,1946,2024,79,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes.
T711_L74,provider_source_provenance,NIPA,T71100,74,State and local,Millions of current dollars,A,1946,2024,79,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes.
T711_L91,provider_source_provenance,NIPA,T71100,91,Government,Millions of current dollars,A,1946,2024,79,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes.
FIN__current_transfer_payments,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
FIN__current_transfer_receipts,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
FIN__dividends_paid,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
FIN__dividends_received,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
FIN_CFC,provider_source_provenance,NIPA,downstream_only,not_applicable,Derived from explicitly staged CORP/NFC ingredients or requires another NIPA table,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.
FIN_COMP,provider_source_provenance,NIPA,downstream_only,not_applicable,Derived from explicitly staged CORP/NFC ingredients or requires another NIPA table,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.
FIN_DIVIDENDS,provider_source_provenance,NIPA,downstream_only,not_applicable,Derived from explicitly staged CORP/NFC ingredients or requires another NIPA table,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.
FIN_GVA,provider_source_provenance,NIPA,T11400,16,Gross value added of financial corporate business,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
FIN_NET_INT,provider_source_provenance,NIPA,downstream_only,not_applicable,Derived from explicitly staged CORP/NFC ingredients or requires another NIPA table,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.
FIN_NOS,provider_source_provenance,NIPA,downstream_only,not_applicable,Derived from explicitly staged CORP/NFC ingredients or requires another NIPA table,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.
FIN_NVA,provider_source_provenance,NIPA,downstream_only,not_applicable,Derived from explicitly staged CORP/NFC ingredients or requires another NIPA table,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.
FIN_PBT,provider_source_provenance,NIPA,downstream_only,not_applicable,Derived from explicitly staged CORP/NFC ingredients or requires another NIPA table,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.
FIN_TRANSFERS,provider_source_provenance,NIPA,downstream_only,not_applicable,Derived from explicitly staged CORP/NFC ingredients or requires another NIPA table,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,downstream_constructed_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.
T711_L28,provider_source_provenance,NIPA,T71100,28,Financial,Millions of current dollars,A,1946,2024,79,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes.
T711_L4,provider_source_provenance,NIPA,T71100,4,Financial,Millions of current dollars,A,1946,2024,79,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes.
T711_L44,provider_source_provenance,NIPA,T71100,44,"Banks, credit agencies, and investment companies",Millions of current dollars,A,1946,2024,79,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Candidate Shaikh-line ingredient only. Staged with provenance. Not semantically admissible for CorpImpIntAdj_t construction until historical/current crosswalk validation passes.
GOV_TRANS__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,Current-cost gross stock not published in the standard staged menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Do not substitute net stock. Downstream GPIM must be explicit.
GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt703,14,Highways and streets,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap.
GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt705,14,Highways and streets,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Live BEA FAAt705 mapping verified on 2026-06-09. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap.
GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt701,14,Highways and streets,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap.
GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt702,14,Highways and streets,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap.
GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt703,12,Transportation,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap.
GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt705,12,Transportation,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Live BEA FAAt705 mapping verified on 2026-06-09. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap.
GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt701,12,Transportation,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap.
GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt702,12,Transportation,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap.
NFC__current_transfer_payments,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
NFC__current_transfer_receipts,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
NFC__dividends_paid,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
NFC__dividends_received,provider_source_provenance,NIPA,not_available,unmapped,Separate payment and receipt line requires verified NIPA mapping,Millions of current dollars,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,requires_manual_mapping,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred."
NFC__IPP__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,40,Intellectual property products,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__IPP__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,40,Intellectual property products,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__IPP__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
NFC__IPP__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,40,Intellectual property products,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__IPP__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,40,Intellectual property products,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__IPP__retirements,provider_source_provenance,FixedAssets,not_available,not_available,retirements not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
NFC__IPP__revaluation_holding_gains,provider_source_provenance,FixedAssets,not_available,not_available,revaluation_holding_gains not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
NFC__ME__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,38,Equipment,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__ME__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,38,Equipment,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__ME__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
NFC__ME__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,38,Equipment,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__ME__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,38,Equipment,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__ME__retirements,provider_source_provenance,FixedAssets,not_available,not_available,retirements not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
NFC__ME__revaluation_holding_gains,provider_source_provenance,FixedAssets,not_available,not_available,revaluation_holding_gains not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
NFC__NRC__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,39,Structures,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__NRC__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,39,Structures,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__NRC__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
NFC__NRC__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,39,Structures,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__NRC__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,39,Structures,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__NRC__retirements,provider_source_provenance,FixedAssets,not_available,not_available,retirements not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
NFC__NRC__revaluation_holding_gains,provider_source_provenance,FixedAssets,not_available,not_available,revaluation_holding_gains not directly available in the staged standard table menu,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Retain as an explicit provider gap; no residual construction is permitted here.
NFC__TOTAL__cfc_current_cost,provider_source_provenance,FixedAssets,FAAt404,37,Nonfinancial,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__TOTAL__gross_investment_current_cost,provider_source_provenance,FixedAssets,FAAt407,37,Nonfinancial,Millions of current dollars,A,1901,2024,124,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__TOTAL__gross_stock_current_cost,provider_source_provenance,FixedAssets,not_available,not_available,BEA standard Fixed Assets API does not publish this legal-form-by-asset gross-stock line,not_available,A,not_staged,not_staged,0,resolved_at_stage_time; BEA vintage at download; cached extracts document 2025-09-26 revision,not_available,Preserve as a required gap. Do not substitute net stock or construct GPIM here.
NFC__TOTAL__net_stock_current_cost,provider_source_provenance,FixedAssets,FAAt401,37,Nonfinancial,Millions of current dollars,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC__TOTAL__net_stock_quantity_index,provider_source_provenance,FixedAssets,FAAt402,37,Nonfinancial,Chain-type quantity index,A,1925,2024,100,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
NFC_CFC,provider_source_provenance,NIPA,T11400,18,Consumption of fixed capital,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_COMP,provider_source_provenance,NIPA,T11400,20,Compensation of employees,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_DIVIDENDS_NET,provider_source_provenance,NIPA,T11400,30,Net dividends,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_GVA,provider_source_provenance,NIPA,T11400,17,Gross value added of nonfinancial corporate business,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_NET_INT,provider_source_provenance,NIPA,T11400,25,Net interest and miscellaneous payments,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_NOS,provider_source_provenance,NIPA,T11400,24,Net operating surplus,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_NVA,provider_source_provenance,NIPA,T11400,19,Net value added,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_PBT,provider_source_provenance,NIPA,T11400,32,Profits before tax (without IVA and CCAdj),Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_PROFITS_IVA_CC,provider_source_provenance,NIPA,T11400,27,Corporate profits with IVA and CCAdj,Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_TRANSFERS_NET,provider_source_provenance,NIPA,T11400,26,Business current transfer payments (net),Millions of current dollars,A,1929,2025,97,2026-06-09; BEA vintage at download; cached extracts document 2025-09-26 revision,staged,Direct NIPA Table 1.14 line; no adjusted share is constructed here.
NFC_COMP,S20E_CL_line_matching_readiness,BEA/NIPA candidate metadata,T11400 line 20,,Line matching follows baseline concept.,metadata_only,not_applicable,,,,S20E-CL-PATCH 2026-06-17,ready,baseline preserved
NFC_GVA,S20E_CL_line_matching_readiness,BEA/NIPA candidate metadata,T11400 line 17,,Line matching follows baseline concept.,metadata_only,not_applicable,,,,S20E-CL-PATCH 2026-06-17,ready,baseline preserved
CORP_GVA,S20E_CL_line_matching_readiness,BEA/NIPA candidate metadata,T11400 line 1,,Not a constructed adjusted object.,metadata_only,not_applicable,,,,S20E-CL-PATCH 2026-06-17,ready,documentation only
CORP_NOS,S20E_CL_line_matching_readiness,BEA/NIPA candidate metadata,T11400 line 8,,NOS is not profit.,metadata_only,not_applicable,,,,S20E-CL-PATCH 2026-06-17,ready,documentation only
FC_INTEREST_LINES,S20E_CL_line_matching_readiness,BEA/NIPA candidate metadata,T71100 lines 4/28/43/57/79/96,,Correction ingredients only; no productive value claim.,metadata_only,not_applicable,,,,S20E-CL-PATCH 2026-06-17,partial,review
NFC_IMPUTED_INTEREST_LINES,S20E_CL_line_matching_readiness,BEA/NIPA candidate metadata,T71100 lines 49/58/80,,Conceptual gate precedes line matching.,metadata_only,not_applicable,,,,S20E-CL-PATCH 2026-06-17,partial,review
OLD_APPENDIX_LINE_NUMBER_PATH,S20E_CL_line_matching_readiness,BEA/NIPA candidate metadata,legacy line numbers,,Benchmark example only; no mechanical carry-forward.,metadata_only,not_applicable,,,,S20E-CL-PATCH 2026-06-17,rejected,fail
